# golden reference dump
# lanes: simd_f32=8 simd_f64=4
# format: index  input(hex)  output(hex)

## f32 asin  [-1, 1]  n=512
   0 bf262a24 bf34d501
   1 3eaa01d5 3ead4c12
   2 3ecf1241 3ed52d6e
   3 3ef1a73d 3efbaa61
   4 bf1109a0 bf1a316f
   5 be593f51 be5ae935
   6 3f6cdc20 3f97405b
   7 bf5f2c33 bf8786c2
   8 bd02dfae bd02e562
   9 be3b7f23 be3c8f79
  10 3f659550 3f8e668e
  11 be96a893 be98ec08
  12 becddd00 bed3db7a
  13 3e8306b2 3e84800b
  14 3e72e3bf 3e753a15
  15 bf102f93 bf192930
  16 3e307ef2 3e3161b5
  17 3f280ed4 3f3754d2
  18 3f694997 3f92bc93
  19 3f6a82ab 3f943dbc
  20 bef5e959 bf004104
  21 3de4d95e 3de553fa
  22 bd0d24a4 bd0d2bcc
  23 3f33e643 3f477baa
  24 bc826c0c bc826d75
  25 3f6c8a75 3f96d528
  26 3e10c8f8 3e114598
  27 3f3312b3 3f4652f5
  28 be3d7396 be3e8c9e
  29 3ea9f5f9 3ead3f80
  30 3f1e4e6a 3f2aabda
  31 bf58e7d7 bf8163c7
  32 bea3bfcc bea6ad7b
  33 bf289ca0 bf381107
  34 3f2dcc94 3f3f0b61
  35 3e9ff743 3ea2b097
  36 3ea5748e 3ea87aba
  37 bf0d128a bf15695c
  38 be90e962 be92eb6e
  39 bed0c851 bed70cce
  40 3e99200e 3e9b8148
  41 bf735831 bfa0a56f
  42 3f175a0b 3f21eff8
  43 3e90cef8 3e92cfe3
  44 3f238511 3f316007
  45 3df21798 3df2a8d8
  46 3d4161e5 3d41744f
  47 bec3d90f bec8f804
  48 3d635741 3d63752d
  49 3ed5469b 3edbfb53
  50 be4f11ce be5081e5
  51 3e53fc6b 3e5587b6
  52 be0c7660 be0ce81b
  53 3f3f2fec 3f57e0dd
  54 3f1c0fd4 3f27d3e1
  55 3f4636a1 3f62b439
  56 3e6d4df9 3e6f7b4f
  57 3e15c59f 3e164fa8
  58 3f473358 3f64450e
  59 3f5f3f6d 3f879a64
  60 bf48ca82 bf66d153
  61 bf46899e bf633784
  62 3dd8433b 3dd8aaa5
  63 be761244 be7880dd
  64 bba58de8 bba58e17
  65 3f3de3c8 3f55ef8a
  66 bf3ef607 bf5789df
  67 3e9a7a94 3e9cec95
  68 bdb7a647 bdb7e583
  69 3ed6d2b4 3eddaf5c
  70 bf5cdc91 bf853482
  71 3f78d25a 3faaadb5
